ClassiferType,Number,loadTime,trainTime,rocMetricTime,meanPredTime,numTruePos,numTrueNeg,numFalsePos,numFalseNeg,precision,recall,F1Score
RandomForest, 1, 34.27290472, 18.021663896, 0.16476652200000075, 0.5705624915643563, 1111, 8861, 4, 24, 0.9964125560538116, 0.9788546255506608, 0.9875555555555555
RandomForest, 2, 37.819174782000005, 35.916553048999994, 0.19915988399999662, 0.4956519704653465, 932, 8957, 11, 100, 0.9883351007423118, 0.9031007751937985, 0.9437974683544303
RandomForest, 3, 37.022545693999994, 27.637779985, 0.22765102900000045, 0.5705497610099011, 886, 8984, 6, 124, 0.9932735426008968, 0.8772277227722772, 0.9316508937960042
RandomForest, 4, 33.126036598, 16.034853909, 0.16757396199999874, 0.5465599789306931, 857, 9013, 5, 125, 0.994199535962877, 0.8727087576374746, 0.9295010845986985
RandomForest, 5, 37.637162913000004, 30.816476087000005, 0.3146928360000061, 0.6843954967029705, 772, 9101, 7, 120, 0.9910141206675225, 0.8654708520179372, 0.9239976062238181
RandomForest, 6, 37.796520814000004, 22.813308985999996, 0.1696785059999968, 0.44352106891089116, 895, 9030, 12, 63, 0.9867695700110254, 0.9342379958246346, 0.9597855227882037
RandomForest, 7, 35.520159134000004, 25.051443407, 0.3033408069999979, 0.6270520291089108, 936, 8959, 13, 92, 0.9863013698630136, 0.9105058365758755, 0.9468892261001517
RandomForest, 8, 29.936480289, 19.356135270000003, 0.2065487389999987, 0.6779836452178217, 824, 9016, 10, 150, 0.988009592326139, 0.8459958932238193, 0.911504424778761
RandomForest, 9, 28.185332263, 20.843453117, 0.20388450100000455, 0.5470648693564356, 870, 8977, 14, 139, 0.9841628959276018, 0.8622398414271556, 0.919175911251981
Logistic, 0, 37.617726856, 82.093345294, 151.2535172, 0.017974078346534753, 948, 8971, 49, 32, 0.950852557673019, 0.9673469387755103, 0.9590288315629742
Logistic, 1, 27.749539792, 72.576016755, 137.309108084, 0.014803729990099086, 1105, 8822, 43, 30, 0.9625435540069687, 0.973568281938326, 0.9680245291283399
Logistic, 2, 36.696428744, 68.979016024, 145.085403315, 0.01866954769306939, 887, 8911, 57, 145, 0.9396186440677966, 0.8594961240310077, 0.8977732793522267
Logistic, 3, 34.472650228, 70.03504188, 195.737296179, 0.015301291168316423, 876, 8894, 96, 134, 0.9012345679012346, 0.8673267326732673, 0.8839556004036327
Logistic, 4, 44.002269559, 106.56882249799999, 211.59177464900003, 0.03916926078217823, 896, 8943, 75, 86, 0.9227600411946447, 0.9124236252545825, 0.9175627240143369
Logistic, 5, 33.220926401, 82.503247204, 160.59299750899999, 0.014836194326732659, 747, 9029, 79, 145, 0.9043583535108959, 0.8374439461883408, 0.869615832363213
Logistic, 6, 37.827465024, 92.02027299399998, 192.453185355, 0.020949772663366183, 873, 8967, 75, 85, 0.9208860759493671, 0.9112734864300627, 0.9160545645330536
Logistic, 7, 25.416788684, 51.218517003, 117.96225267300001, 0.014396010158415804, 936, 8894, 78, 92, 0.9230769230769231, 0.9105058365758755, 0.9167482859941234
Logistic, 8, 25.596975331, 52.253786722, 151.746694171, 0.024786692158415904, 692, 8835, 191, 282, 0.7836919592298981, 0.7104722792607803, 0.745288099084545
Logistic, 9, 36.022959443, 101.63932320199999, 122.96208499099998, 0.011643836584158131, 806, 8822, 169, 203, 0.8266666666666667, 0.798810703666997, 0.8125
KNeighbors, 0, 24.699682106, 44.949789498, 742.045249451, 7.015299967851485, 973, 8997, 23, 7, 0.9769076305220884, 0.9928571428571429, 0.9848178137651822
KNeighbors, 1, 25.060369113, 45.876542619000006, 675.169710679, 6.93600372961386, 1131, 8830, 35, 4, 0.9699828473413379, 0.9964757709251101, 0.9830508474576272
KNeighbors, 2, 25.11863318, 44.738706730000004, 714.570342184, 7.248244369623762, 994, 8954, 14, 38, 0.9861111111111112, 0.9631782945736435, 0.9745098039215686
KNeighbors, 3, 26.641308666, 42.021383402999994, 927.609845916, 7.584324093079208, 974, 8964, 26, 36, 0.974, 0.9643564356435643, 0.9691542288557214
KNeighbors, 4, 32.400738208, 50.916855209000005, 736.185290751, 7.5558627052871286, 949, 8997, 21, 33, 0.9783505154639175, 0.9663951120162932, 0.9723360655737705
KNeighbors, 5, 28.066912770000002, 49.422981459, 713.1524245979999, 6.77103686409901, 861, 9078, 30, 31, 0.9663299663299664, 0.9652466367713004, 0.96578799775659
KNeighbors, 6, 31.930643103999998, 131.255704016, 679.1525916810001, 7.353127839237624, 946, 9025, 17, 12, 0.9823468328141225, 0.9874739039665971, 0.984903695991671
KNeighbors, 7, 26.994002243, 48.786772514999996, 718.218888185, 7.249221240188119, 993, 8935, 37, 35, 0.9640776699029127, 0.9659533073929961, 0.9650145772594753
KNeighbors, 8, 29.654397169, 42.069859977, 653.977392978, 6.7640833593366345, 913, 9017, 9, 61, 0.9902386117136659, 0.9373716632443532, 0.9630801687763713
KNeighbors, 9, 25.535015104, 41.98208498299999, 676.030231882, 7.447241544217822, 966, 8954, 37, 43, 0.963110667996012, 0.9573835480673935, 0.9602385685884692
